,name,date,speech,elected
0,Franklin D. Roosevelt ,"April 07, 1932","['Although I understand that I am talking under the auspices of the Democratic National Committee, I do not want to limit myself to politics. I do not want to feel that I am addressing an audience of Democrats or that I speak merely as a Democrat myself. The present condition of our national affairs is too serious to be viewed through partisan eyes for partisan purposes.', 'Fifteen years ago my public duty called me to an active part in a great national emergency, the World War. Success then was due to a leadership whose vision carried beyond the timorous and futile gesture of sending a tiny army of 150,000 trained soldiers and the regular navy to the aid of our allies. The generalship of that moment conceived of a whole Nation mobilized for war, economic, industrial, social and military resources gathered into a vast unit capable of and actually in the process of throwing into the scales ten million men equipped with physical needs and sustained by the realization that behind them were the united efforts of 110,000,000 human beings. It was a great plan because it was built from bottom to top and not from top to bottom.', 'In my calm judgment, the Nation faces today a more grave emergency than in 1917.', 'It is said that Napoleon lost the battle of Waterloo because he forgot his infantry — he staked too much upon the more spectacular but less substantial cavalry. The present administration in Washington provides a close parallel. It has either forgotten or it does not want to remember the infantry of our economic army.', 'These unhappy times call for the building of plans that rest upon the forgotten, the unorganized but the indispensable units of economic power for plans like those of 1917 that build from the bottom up and not from the top down, that put their faith once more in the forgotten man at the bottom of the economic pyramid.', 'Obviously, these few minutes tonight permit no opportunity to lay down the ten or a dozen closely related objectives of a plan to meet our present emergency, but I can draw a few essentials, a beginning in fact, of a planned program.', 'It is the habit of the unthinking to turn in times like this to the illusions of economic magic. People suggest that a huge expenditure of public funds by the Federal Government and by State and local governments will completely solve the unemployment problem. But it is clear that even if we could raise many billions of dollars and find definitely useful public works to spend these billions on, even all that money would not give employment to the seven million or ten million people who are out of work. Let us admit frankly that it would be only a stopgap. A real economic cure must go to the killing of the bacteria in the system rather than to the treatment of external symptoms.', ""How much do the shallow thinkers realize, for example, that approximately one-half of our whole population, fifty or sixty million people, earn their living by farming or in small towns whose existence immediately depends on farms. They have today lost their purchasing power. Why? They are receiving for farm products less than the cost to them of growing these farm products. The result of this loss of purchasing power is that many other millions of people engaged in industry in the cities cannot sell industrial products to the farming half of the Nation. This brings home to every city worker that his own employment is directly tied up with the farmer's dollar. No Nation can long endure half bankrupt. Main Street, Broadway, the mills, the mines will close if half the buyers are broke. I cannot escape the conclusion that one of the essential parts of a national program of restoration must be to restore purchasing power to the farming half of the country. Without this the wheels of railroads and of factories will not turn."", 'Closely associated with this first objective is the problem of keeping the home-owner and the farm-owner where he is, without being dispossessed through the foreclosure of his mortgage. His relationship to the great banks of Chicago and New York is pretty remote. The two billion dollar fund which President Hoover and the Congress have put at the disposal of the big banks, the railroads and the corporations of the Nation is not for him.', 'His is a relationship to his little local bank or local loan company. It is a sad fact that even though the local lender in many cases does not want to evict the farmer or home-owner by foreclosure proceedings, he is forced to do so in order to keep his bank or company solvent. Here should be an objective of Government itself, to provide at least as much assistance to the little fellow as it is now giving to the large banks and corporations. That is another example of building from the bottom up.', 'One other objective closely related to the problem of selling American products is to provide a tariff policy based upon economic common sense rather than upon politics, hot-air, and pull. This country during the past few years, culminating with the Hawley-Smoot Tariff in 1929, has compelled the world to build tariff fences so high that world trade is decreasing to the vanishing point. The value of goods internationally exchanged is today less than half of what it was three or four years ago.', 'Every man and woman who gives any thought to the subject knows that if our factories run even 8o percent of capacity, they will turn out more products than we as a Nation can possibly use ourselves. The answer is that if they run on 8o percent of capacity, we must sell some goods abroad. How can we do that if the outside Nations cannot pay us in cash? And we know by sad experience that they cannot do that. The only way they can pay us is in their own goods or raw materials, but this foolish tariff of ours makes that impossible.', 'What we must do is this: revise our tariff on the basis of a reciprocal exchange of goods, allowing other Nations to buy and to pay for our goods by sending us such of their goods as will not seriously throw any of our industries out of balance, and incidentally making impossible in this country the continuance of pure monopolies which cause us to pay excessive prices for many of the necessities of life.', ""Such objectives as these three, restoring farmers' buying power, relief to the small banks and home-owners and a reconstructed tariff policy, are only a part of ten or a dozen vital factors. But they seem to be beyond the concern of a national administration which can think in terms only of the top of the social and economic structure. It has sought temporary relief from the top down rather than permanent relief from the bottom up. It has totally failed to plan ahead in a comprehensive way. It has waited until something has cracked and then at the last moment has sought to prevent total collapse."", 'It is high time to get back to fundamentals. It is high time to admit with courage that we are in the midst of an emergency at least equal to that of war. Let us mobilize to meet it.']",1
1,Franklin D. Roosevelt ,"April 18, 1932","['What is the real reason that Jefferson Day Dinners are being given throughout the length and breadth of the land, a century and a quarter after Thomas Jefferson was at the height of his career? No doubt it is in part because Democrats use the opportunity of the anniversary to assemble in furtherance of party plans and for the advancement of candidacies. But in a larger sense they are held to give renewed allegiance to the foundation principles of which Jefferson was the chief builder and on which still rests the social and political structure of the Republic.', 'It is not necessary for us in any way to discredit the great financial genius of Alexander Hamilton or the school of thought of the early Federalists to point out that they were frank in their belief that certain sections of the Nation and certain individuals within those sections were more fitted than others to conduct Government.', 'Federalism, as Woodrow Wilson so wisely put it, was a group ""possessed of unity and informed by a conscious solidarity of interest."" It was the purpose of Jefferson to teach the country that the solidarity of Federalism was only a partial one, that it represented only a minority of the people, that to build a great Nation the interests of all groups in every part must be considered, and that only in a large, national unity could real security be found. The whole life and all of the methods of Jefferson were an exemplification of this fundamental. He has been called a politician because he devoted years to the building of a political party. But this labor was in itself a definite and practical act aimed at the unification of all parts of the country in support of common principles. When people carelessly or snobbishly deride political parties, they overlook the fact that the party system of Government is one of the greatest methods of unification and of teaching people to think in common terms of our civilization.', 'We have had in our own history three men who chiefly stand out for the universality of their interest and of their knowledge —Benjamin Franklin, Thomas Jefferson and Theodore Roosevelt. All three knew at first hand every cross-current of national and international life. All three were possessed of a profound culture in the best sense of the word, and yet all three understood the yearnings and the lack of opportunity, the hopes and fears of millions of their fellow beings. All true culture finally comes down to an appreciation of just that.', 'And of the three Jefferson was in many ways the deepest student — the one with the most inquiring and diversified intellect and, above all, the one who at all times looked the farthest into the future, examining the ultimate effects on humanity of the actions of the present.', ""Jefferson's methods were wholly illustrative of this purpose of Government based on a universality of interest. I can picture the weeks on horseback when he was traveling into the different States of the Union, slowly and laboriously accumulating an understanding of the people of his country. He had done the same thing throughout the Provinces of France in the critical days before the Revolution, and he was not only drinking in the needs of the people in every walk of life, but he was also giving to them an understanding of the essential principles of self-government. He was one of the first to recognize the community of interest between the shipowner in New York and the boatman on the upper reaches of the Ohio. He was one of the first to try to reconcile the problems of the South with those of the North. He was one of the first to preach the interdependence of town and country and he was one of the first to bring to the crusty conservatism of leaders of the Eastern seaboard the hopes and aspirations of the pioneer. He was willing to stake his fortunes on the stroke of a pen which purchased an imperial domain which trebled the size of the Nation over night. He was no local American! He was no little American!"", 'Jefferson was so big in mind and in spirit that he knew the average man would understand when he said ""I shall often go wrong through defective judgment. And when right, I shall often be thought wrong by those whose positions will not command a view of the whole ground. I ask your support against the errors of others who may condemn what they would not, if seen in all its parts."" His, after all, was the essential point of view that has been held by our truly great leaders in every generation.', 'Andrew Jackson had it. I like his blunt statement that ""the spirit of equity requires that the great interests of agriculture, commerce, and manufactures should be equally favored.""', 'Abraham Lincoln had it. We could say today, as he said in 1861, ""physically speaking we cannot separate. We cannot remove our respective sections from each other nor build an impassible wall between them. A husband and wife may be divorced, and go out of the presence and beyond the reach of each other, but the different parts of our country cannot do this. They cannot but remain face to face, and intercourse must continue between them.""', 'Theodore Roosevelt brought home to us once more the fundamental point of view when he said:', '""The kind of business prosperity that blunts the standard of honor, that puts an inordinate value on mere wealth, that makes a man ruthless and conscienceless in trade, and weak and cowardly in citizenship, is not a good thing at all, but a very bad thing for the Nation. This Government stands for manhood first and for business only as an adjunct of manhood.', '""In the past the most direful among the influences which have brought about the downfall of republics has ever been the growth of the class spirit, the growth of the spirit which tends to make a man subordinate the welfare of the public as a whole to the welfare of the particular class to which he belongs, the substitution of loyalty to a class for loyalty to the Nation. This inevitably brings about a tendency to treat each man not on his merits as an individual, but on his position as belonging to a certain class in the community.', '""It is the man\'s moral quality, his attitude toward the great questions which concern all humanity, his cleanliness of life, his power to do his duty toward himself and toward others, which really count; and if we substitute for the standard of personal judgment which treats each man according to his merits, another standard in accordance with which all men of one class are favored and all men of another class discriminated against, we shall do irreparable damage to the body politic. This Government is not and never shall be government by a plutocracy. This Government is not and never shall be government by a mob.""', 'It is to this national community of interest that we should dedicate ourselves tonight.', ""The great size of the country, enlarged by Jefferson's Louisiana Purchase, offers vast advantages for those who live in it. But it imposes grave problems upon those who are vested with its direction and control. In normal times it is likely to live in the isolation of sectionalism. It becomes a loose association of communities, with little common thought and little realization of mutual interdependence."", 'This reminds me of what Chesterton keenly remarked concerning the members of the British Empire. They are, he says, like the passengers in an omnibus. They get to know each other only in case of an accident.', 'It is only in a crisis that we look back to our common concerns.', 'The stress of a vast emergency rudely wakes us all from our local concerns and turns us to wider concerns. Then for the first time we look to a larger measure of cooperation, a more exact measuring of our resources, and what is most important, a more imaginative and purposeful planning.', 'Two weeks ago I said that we were facing an emergency today more grave than that of war. This I repeat tonight.', 'That a great fear has swept the country few can doubt. Normal times lull us into complacency. We become lazy and contented. Then with the coming of economic stress we feel the disturbing hand of fear. This fear spreads to the entire country and with more or less unity we turn to our common Government at Washington.', 'In meeting this appeal, what has the present Republican administration done and what is the policy and spirit that has guided it?', 'Let us see first what this policy has been. Mr. Eugene Meyer, Governor of the Federal Reserve Board, in speaking for the creation of a Reconstruction Finance Corporation in December said: ""I believe the main result . . . would be through the removal of fear. The present situation is peculiar, in that, instead of the weak being afraid of the strong, the strong are afraid of the weak and the main object aimed at is the removal of that fear from the strong institutions, so that they may go ahead and conduct business in a normal way.""', 'This, I submit, is spoken in the true Hamiltonian tradition — that while manifestly no one can claim a monopoly of fear, the allaying of it must proceed from the strong to the weak.', 'And what has the Administration provided to meet the situation?', ""First, an appeal to charity. Second, the moratorium declared after a hesitation and delay of months and without calling the Congress into session. Third, the creation of the Emergency Finance Corporation, the spirit of which, I submit, is well embodied in Governor Meyer's words just quoted. Finally, unscientific, belated — almost frantic — economy in Government."", 'Compare this panic-stricken policy of delay and improvisation with that devised to meet the emergency of war fifteen years ago.', 'We met specific situations with considered, relevant measures of constructive value. There were the War Industries Board, the Food and Fuel Administration, the War Trade Board, the Shipping Board and many others.', 'I am not speaking of an economic life completely planned and regimented. I am speaking of the necessity, however, in those imperative interferences with the economic life of the Nation that there be a real community of interest, not only among the sections of this great country, but among its economic units and the various groups in these units; that there be common participation in the work of remedial figures, planned on the basis of a shared common life, the low as well as the high. In much of our present plans there is too much disposition to mistake the part for the whole, the head for the body, the captain for the company, the general for the army. I plead not for a class control but for a true concert of interests.', 'The plans we may make for this emergency, if we plan wisely and rest our structure upon a base sufficiently broad, may show the way to a more permanent safeguarding of our social and economic life to the end that we may in a large number avoid the terrible cycle of prosperity crumbling into depression. In this sense I favor economic planning, not for this period alone but for our needs for a long time to come.', 'Let me cite a practical example of the control of the use of Government as an agency for the oppression of the general average of the population by any individual or small group of individuals — the historic and fundamental control over certain industries which, by their very nature, are monopolistic. Many generations before our American independence it was a fundamental of the British constitution that such services as toll roads and ferries should be regulated by the Government for the good of the public. This was recognized throughout the thirteen colonies; and later this control was extended to other similar services, such as canals and railroads and gas and electricity and telephones. It is not stretching the imagination to declare that this principle of regulation has been for centuries a component part of the common law; and that concentrated in its simplest terms this control has involved two very simple mandates: First, that the service itself should be adequate to the needs of the public; and, second, that the price charged should be reasonable to the extent that it provides a reasonable return for the labor expended and for the actual cash which has been wisely and necessarily invested in the property.', 'I have stated the principle and the purpose of the principle which underlie Government regulation of public utilities. Every court has recognized the principle and it is only in the application of the principle that we have gone astray. The great problem today is how we shall return to a simple clearcut carrying out of the purpose of the common law.', 'Let me illustrate by telling you simply and briefly the story of the long fight which I have had in the State of New York for making available for the use of the public of the State a million and one-quarter horsepower provided by nature and capable of development at an exceedingly low price on the St. Lawrence River.', 'There is no doubt that because the people of the State have always owned the bed of the St. Lawrence River out to the international boundary, the people of the State and not private corporations have the definite right to build the necessary dam or dams to develop the power. Twenty-five years ago, when the people of the State were little aware of their great heritage, a Legislature attempted to alienate this great possession to the Aluminum Company of America. This was happily frustrated and then began a twenty-year struggle to prevent a new alienation of this great possession under the guise of a lease running for fifty years or more. In this contest, my distinguished predecessor, Governor Smith, was happily able to prevent the control from passing out of the hands of the State.', 'When I took office, I undertook at once a definite plan for the development of this great power and I laid down a very definite application of the principle to which I have alluded. In order to be absolutely certain that the actual possession of the power itself should never be alienated from the people, I insisted that the actual dam or dams and the actual power houses should be constructed by a public authority and always remain in the physical possession of that public authority.', 'Then came the question of how and under what terms this power should be distributed to the actual consuming public. I laid down the principle that this task of transmission and of distribution should be offered in the first instance to private capital and private management, but under very definite terms. These terms were intended to carry out the purpose of getting the electricity into the homes of the people at the lowest reasonable price. This price would be made up of the following items: First, a payment to the State at the power house of an amount necessary to pay the interest and amortization on the cost of the plant; second, an item representing the actual cost of transmission and a reasonable return on the actual money wisely and necessarily invested in transmission lines; and third, the cost of distribution plus a reasonable return on the amount wisely and necessarily invested in the properties engaged in distribution.', 'The sum of these three items would represent the actual cost of electricity to the home owner, and we have believed that this cost would be far below the average price now charged to the home owners in the State. The very definite plan has been to invite private capital to contract with the State to do this transmitting and distribution on these entirely proper and reasonable terms. But at that point it became necessary to provide an alternative in the event that private capital was unwilling to undertake transmission and distribution on terms involving only a reasonable profit to that private capital.', 'I said in my message to the Legislature at that time: ""Are the business men of this State willing to transmit and distribute this latent water power on a fair return on their investment? If they are satisfied, here is their opportunity. If not, then the State may have to go into the transmission business itself."" That is the obvious development of any sound Government control over private utilities — that Government itself should not engage in the utility business if it can find private initiative and private capital willing to undertake the business for a reasonable and fair return on the capital which it is necessary and wise to invest in the project, and on the other hand, that if Government is not able to find private individuals or corporations willing to do this, then Government must step in and do it itself.', 'If, during this past generation, these fundamentals had been observed by our courts, by all of our public service commissions, by our legislatures, there would be no problem of the control of utilities today. It is an unfortunate fact, which is not denied by the leading bankers or the leading utility men themselves, that largely through the building up of a series of great mergers and a series of great holding companies, the capital structure, especially in the case of the electric utilities, has been allowed to expand to an extent far beyond the actual wise and necessary cash investment. It is a simple fact that in thousands of cases throughout the United States electric utility companies have sought, and in many instances have succeeded in obtaining permission to charge rates which will bring a fair return, not on this cash investment, but on a definite inflation of capital.', 'I am putting this case very calmly and conservatively. It could be put much more forcibly and it would be easy to make accusations against many of the great utility companies now operating in this country. Recrimination, however, is not particularly useful. It is more useful to state the principles that go back for centuries in such a way that the people of this country will understand them and will understand how, in losing sight of them, we have made ourselves the victims. The net result of our blindness, of our failure to regulate, and of our failure to say that if private capital will not operate for a reasonable profit, Government will have to operate itself, is that in most places in the United States the householders and the farmer and the small business man are paying vastly more for that very necessary part of our modern life — electricity — than they should be paying. It is neither radical, nor a violation of any principle of sound business, for me to state in definite terms that public servants with a proper regard for the interests of the people themselves must exert every effort to restore the fundamentals of public control. And this applies not only in every State capitol, but also in the control by the national Government over those great sources of power which fall under its jurisdiction.', 'One final point goes with this. A very deep study over many years makes it clearer to me with every passing day that where a public service like the transmission of electricity passes beyond State lines and becomes interstate in its actual operation, in such a case the control cannot effectively be maintained by States alone, or through agreements between neighboring States. That problem is national in its scope and can be solved only by the firm establishment of national control.', 'It is a great unifying interest doing more to make us a united Nation than any other material factor. To control it for the common good requires national thinking by a national party.', 'The same broad national view must direct our dealing with the tariff. The Republican Administration has greatly intensified the depression by its tariff policy. The Hawley-Smoot tariff law of 1930 was a drastic revision of the tariff upward. The existing tariff levels were already high enough to protect American industries which needed protection. The increases which the Hawley-Smoot bill made were not based on any scientific analysis of tariffs. The increases were political favors — in large measure to contributors to the Republican campaign fund. The consequences of the Hawley-Smoot bill have been tremendous, both directly and indirectly. Directly, American foreign trade has been steadily dwindling. Indirectly, the high schedules of the Hawley-Smoot bill caused European Nations to raise their own tariff walls, and those walls were raised not only against us but against each other. The result has been that the value of goods exchanged internationally in the last year or so has been less than fifty percent of what it was three or four years ago. When the Hawley-Smoot bill was passed, European States were endeavoring to negotiate reciprocal arrangements which might have caused the lowering of European tariff walls. Our action prevented such an arrangement, and since 193o when Congress acted and the President signed the law, European tariff barriers have gone higher and higher. This means a lower standard of living in many quarters because prosperity exists only when goods are exchanged internationally.', 'Just before the Hawley-Smoot bill was presented to President Hoover for his signature, a thousand American economists told President Hoover that he should not sign the law. I am told that never before in history have so many economists been able to agree upon anything. But the faults of this bill were so open and palpable that they found easy agreement. With really prophetic insight they warned him in detail of what would happen, and the detail that they gave him is the detail of what has happened: no benefit to the farmers; injury to American export trade; weakening of the security of American investments abroad; increase of unemployment; and encouragement of a world-wide tariff war. President Hoover ignored this warning. Would he have ignored a warning by a thousand engineers that a bridge which the national Government was building was unsafe?', 'To my mind a proper tariff policy must be a complete reversal of the methods of the present administration. The scientific determination of economic facts and the scientific determination of probable results of proposed changes are all for the good and should, of course, be used. But this action in itself does nothing to bring about the actual reciprocal exchange of goods so necessary to us and to all Nations. That is the only realistic method of making goods move. The task of statesmanship is to determine what these products are, to bring about bilateral or group international agreements to effectuate their exchange. The world is looking for that type of statesmanship and for such a plan that goes far beyond mere scale reductions, that fills in the gaps in the mere advocating of ""export"" tariff boards and, above all, that provides a real beginning of that international resumption of business that everyone favors and expects.', 'If Jefferson would return to the councils of the party, he would find that while economic changes of a century have changed the necessary methods of government action, the principles of that action are still wholly his own. As the great Virginian sat at Monticello in the twilight of his life he saw the rise of manufacturing and the growth of the cities and he still held fast to the first principles that a truly national economy is many sided. A great disciple of Jefferson said: ""Jefferson\'s principles are sources of light because they are not made up of pure reason, but spring out of aspiration, impulse, vision, sympathy. They burn with the fervor of the heart; they wear the light of the interpretation he sought, the authentic terms of honest, human ambition. And the law, in his mind, was the guardian of all legitimate ambition. It was the great umpire standing by to see that the game was honorably and fairly played in the spirit of generous rivalry and to open the field free to every sportsmanlike contestant.""', 'That was spoken in 1912 by Woodrow Wilson. It was the voice that the people of the country recognized as the authentic and clear spokesman of the Jeffersonian heritage.', 'There will be many in this Nation during the coming months who will implore you not to swap horses crossing a stream; there will be others who will laughingly tell you that the \'appeal should have been worded, ""Do not swap toboggans while you are sliding downhill."" But it seems to me that the more truthful, the more accurate plea to the people of the Nation should be this: ""If the old car in spite of frequent emergency repairs has been bumping along downhill on only two cylinders for three long years, it is time to get another car that will start uphill on all four.""', 'Jefferson labored for a widespread concert of thought, capable of concert of action, based on a fair and just concert of interests. Jefferson labored to bring the scattered farmers, the workers, the business men into a participation in national affairs. This was his purpose and this is the principle upon which the party he founded was based. It should now present itself as an agency of national unity.', 'I say with Lincoln, ""Having thus chosen our course, without guile and with pure purpose, let us renew our trust in God and go forward without fear and with manly hearts.""']",1
2,Franklin D. Roosevelt ,"May 22, 1932","['President Jacobs, members and friends of Oglethorpe University, and especially you, my fellow members of the Class of 1932:', 'For me, as for you, this is a day of honorable attainment. For the honor conferred upon me I am deeply grateful, and I felicitate you upon yours, even though I cannot share with you that greater satisfaction which comes from a laurel worked for and won. For many of you, doubtless, this mark of distinction which you have received today has meant greater sacrifice by your parents or by yourselves, than you anticipated when you matriculated almost four years ago. The year 1928 does not seem far in the past, but since that time, as all of us are aware, the world about us has experienced significant changes. Four years ago, if you heard and believed the tidings of the time, you could expect to take your place in a society well supplied with material things and could look forward to the not too distant time when you would be living in your own homes, each (if you believed the politicians) with a two-car garage; and, without great effort, would be providing yourselves and your families with all the necessities and amenities of life, and perhaps in addition, assure by your savings their security and your own in the future. Indeed, if you were observant, you would have seen that many of your elders had discovered a still easier road to material success. They had found that once they had accumulated a few dollars they needed only to put them in the proper place and then sit back and read in comfort the hieroglyphics called stock quotations which proclaimed that their wealth was mounting miraculously without any work or effort on their part. Many who were called and who are still pleased to call themselves the leaders of finance celebrated and assured us of an eternal future for this easy-chair mode of living. And to the stimulation of belief in this dazzling chimera were lent not only the voices of some of our public men in high office, but their influence and the material aid of the very instruments of Government which they controlled.', ""How sadly different is the picture which we see around us today! If only the mirage had vanished, we should not complain, for we should all be better off. But with it have vanished, not only the easy gains of speculation, but much of the savings of thrifty and prudent men and women, put by for their old age and for the education of their children. With these savings has gone, among millions of our fellow citizens, that sense of security to which they have rightly felt they are entitled in a land abundantly endowed with natural resources and with productive facilities to convert them into the necessities of life for all of our population. More calamitous still, there has vanished with the expectation of future security the certainty of today's bread and clothing and shelter."", 'Some of you — I hope not many — are wondering today how and where you will be able to earn your living a few weeks or a few months hence. Much has been written about the hope of youth. I prefer to emphasize another quality. I hope that you who have spent four years in an institution whose fundamental purpose, I take it, is to train us to pursue truths relentlessly and to look at them courageously, will face the unfortunate state of the world about you with greater clarity of vision than many of your elders.', 'As you have viewed this world of which you are about to become a more active part, I have no doubt that you have been impressed by its chaos, its lack of plan. Perhaps some of you have used stronger language. And stronger language is justified. Even had you been graduating, instead of matriculating, in these rose-colored days of 1928, you would, I believe, have perceived this condition. For beneath all the happy optimism of those days there existed lack of plan and a great waste.', 'This failure to measure true values and to look ahead extended to almost every industry, every profession, every walk of life. Take, for example, the vocation of higher education itself.', 'If you had been intending to enter the profession of teaching, you would have found that the universities, the colleges, the normal schools of our country were turning out annually far more trained teachers than the schools of the country could possibly use or absorb. You and I know that the number of teachers needed in the Nation is a relatively stable figure, little affected by the depression and capable of fairly accurate estimate in advance with due consideration for our increase in population. And yet, we have continued to add teaching courses, to accept every young man or young woman in those courses without any thought or regard for the law of supply and demand. In the State of New York alone, for example, there are at least seven thousand qualified teachers who are out of work, unable to earn a livelihood in their chosen profession just because nobody had the wit or the forethought to tell them in their younger days that the profession of teaching was gravely oversupplied.', 'Take, again, the profession of the law. Our common sense tells us that we have too many lawyers and that thousands of them, thoroughly trained, are either eking out a bare existence or being compelled to work with their hands, or are turning to some other business in order to keep themselves from becoming objects of charity. The universities, the bar, the courts themselves have done little to bring this situation to the knowledge of young men who are considering entering any one of our multitude of law schools. Here again foresight and planning have been notable for their complete absence.', 'In the same way we cannot review carefully the history of our industrial advance without being struck with its haphazardness, the gigantic waste with which it has been accomplished, the superfluous duplication of productive facilities, the continual scrapping of still useful equipment, the tremendous mortality in industrial and commercial undertakings, the thousands of dead-end trails into which enterprise has been lured, the profligate waste of natural resources. Much of this waste is the inevitable by-product of progress in a society which values individual endeavor and which is susceptible to the changing tastes and customs of the people of which it is composed. But much of it, I believe, could have been prevented by greater foresight and by a larger measure of social planning. Such controlling and directive forces as have been developed in recent years reside to a dangerous degree in groups having special interests in our economic order, interests which do not coincide with the interests of the Nation as a whole. I believe that the recent course of our history has demonstrated that, while we may utilize their expert knowledge of certain problems and the special facilities with which they are familiar, we cannot allow our economic life to be controlled by that small group of men whose chief outlook upon the social welfare is tinctured by the fact that they can make huge profits from the lending of money and the marketing of securities — an outlook which deserves the adjectives ""selfish"" and ""opportunist.""', 'You have been struck, I know, by the tragic irony of our economic situation today. We have not been brought to our present state by any natural calamity— by drought or floods or earthquakes or by the destruction of our productive machine or our man power. Indeed, we have a superabundance of raw materials, a more than ample supply of equipment for manufacturing these materials into the goods which we need, and transportation and commercial facilities for making them available to all who need them. But raw materials stand unused, factories stand idle, railroad traffic continues to dwindle, merchants sell less and less, while millions of able-bodied men and women, in dire need, are clamoring for the opportunity to work. This is the awful paradox with which we are confronted, a stinging rebuke that challenges our power to operate the economic machine which we have created.', 'We are presented with a multitude of views as to how we may again set into motion that economic machine. Some hold to the theory that the periodic slowing down of our economic machine is one of its inherent peculiarities — a peculiarity which we must grin, if we can, and bear because if we attempt to tamper with it we shall cause even worse ailments. According to this theory, as I see it, if we grin and bear long enough, the economic machine will eventually begin to pick up speed and in the course of an indefinite number of years will again attain that maximum number of revolutions which signifies what we have been wont to miscall prosperity, but which, alas, is but a last ostentatious twirl of the economic machine before it again succumbs to that mysterious impulse to slow down again. This attitude toward our economic machine requires not only greater stoicism, but greater faith in immutable economic law and less faith in the ability of man to control what he has created than I, for one, have. Whatever elements of truth lie in it, it is an invitation to sit back and do nothing; and all of us are suffering today, I believe, because this comfortable theory was too thoroughly implanted in the minds of some of our leaders, both in finance and in public affairs.', ""Other students of economics trace our present difficulties to the ravages of the World War and its bequest of unsolved political and economic and financial problems. Still others trace our difficulties to defects in the world's monetary systems. Whether it be an original cause, an accentuating cause, or an effect, the drastic change in the value of our monetary unit in terms of the commodities is a problem which we must meet straightforwardly. It is self-evident that we must either restore commodities to a level approximating their dollar value of several years ago or else that we must continue the destructive process of reducing, through defaults or through deliberate writing down, obligations assumed at a higher price level."", 'Possibly because of the urgency and complexity of this phase of our problem some of our economic thinkers have been occupied with it to the exclusion of other phases of as great importance.', 'Of these other phases, that which seems most important to me in the long run is the problem of controlling by adequate planning the creation and distribution of those products which our vast economic machine is capable of yielding. It is true that capital, whether public or private, is needed in the creation of new enterprise and that such capital gives employment.', 'But think carefully of the vast sums of capital or credit which in the past decade have been devoted to unjustified enterprises — to the development of unessentials and to the multiplying of many products far beyond the capacity of the Nation to absorb. It is the same story as the thoughtless turning out of too many school teachers and too many lawyers.', 'Here again, in the field of industry and business many of those whose primary solicitude is confined to the welfare of what they call capital have failed to read the lessons of the past few years and have been moved less by calm analysis of the needs of the Nation as a whole than by a blind determination to preserve their own special stakes in the economic order. I do not mean to intimate that we have come to the end of this period of expansion. We shall continue to need capital for the production of newly-invented devices, for the replacement of equipment worn out or rendered obsolete by our technical progress; we need better housing in many of our cities and we still need in many parts of the country more good roads, canals, parks and other improvements. But it seems to me probable that our physical economic plant will not expand in the future at the same rate at which it has expanded in the past. We may build more factories, but the fact remains that we have enough now to supply all of our domestic needs, and more, if they are used. With these factories we can now make more shoes, more textiles, more steel, more radios, more automobiles, more of almost everything than we can use.', 'No, our basic trouble was not an insufficiency of capital. It was an insufficient distribution of buying power coupled with an oversufficient speculation in production. While wages rose in many of our industries, they did not as a whole rise proportionately to the reward to capital, and at the same time the purchasing power of other great groups of our population was permitted to shrink. We accumulated such a superabundance of capital that our great bankers were Vying with each other, some of them employing questionable methods, in their efforts to lend this capital at home and abroad.', 'I believe that we are at the threshold of a fundamental change in our popular economic thought, that in the future we are going to think less about the producer and more about the consumer. Do what we may have to do to inject life into our ailing economic order, we cannot make it endure for long unless we can bring about a wiser, more equitable distribution of the national income.', ""It is well within the inventive capacity of man, who has built up this great social and economic machine capable of satisfying the wants of all, to insure that all who are willing and able to work receive from it at least the necessities of life. In such a system, the reward for a day's work will have to be greater, on the average, than it has been, and the reward to capital, especially capital which is speculative, will have to be less. But I believe that after the experience of the last three years, the average citizen would rather receive a smaller return upon his savings in return for greater security for the principal, than experience for a moment the thrill or the prospect of being a millionaire only to find the next moment that his fortune, actual or expected, has withered in his hand because the economic machine has again broken down."", 'It is toward that objective that we must move if we are to profit by our recent experiences. Probably few will disagree that the goal is desirable. Yet many, of faint heart, fearful of change, sitting tightly on the roof-tops in the flood, will sternly resist striking out for it, lest they fail to attain it. Even among those who are ready to attempt the journey there will be violent differences of opinion as to how it should be made. So complex, so widely distributed over our whole society are the problems which confront us that men and women of common aim do not agree upon the method of attacking them. Such disagreement leads to doing nothing, to drifting. Agreement may come too late.', 'Let us not confuse objectives with methods. Too many so-called leaders of the Nation fail to see the forest because of the trees. Too many of them fail to recognize the vital necessity of planning for definite objectives. True leadership calls for the setting forth of the objectives and the rallying of public opinion in support of these objectives.', 'Do not confuse objectives with methods. When the Nation becomes substantially united in favor of planning the broad objectives of civilization, then true leadership must unite thought behind definite methods.', 'The country needs and, unless I mistake its temper, the country demands bold, persistent experimentation. It is common sense to take a method and try it: If it fails, admit it frankly and try another. But above all, try something. The millions who are in want will not stand by silently forever while the things to satisfy their needs are within easy reach.', 'We need enthusiasm, imagination and the ability to face facts, even unpleasant ones, bravely. We need to correct, by drastic means if necessary, the faults in our economic system from which we now suffer. We need the courage of the young. Yours is not the task of making your way in the world, but the task of remaking the world which you will find before you. May every one of us be granted the courage, the faith and the vision to give the best that is in us to that remaking!']",1
